id,Fecha,ERA - Obrero,La Flora,Pance,Univalle,Base Aerea,Compartir,La Ermita,Cañav eralejo,Transitoria
122,02 5 10,14,ND,ND,ND,ND,ND,ND,ND,ND
123,03 5 10,29,ND,ND,ND,ND,ND,ND,ND,ND
124,04 5 10,32,ND,ND,ND,ND,ND,ND,ND,ND
125,05 5 10,50,34,ND,ND,ND,ND,ND,ND,ND
126,06 5 10,45,30,ND,ND,ND,ND,ND,ND,ND
127,07 5 10,39,31,ND,ND,ND,ND,ND,ND,ND
128,08 5 10,32,36,ND,ND,ND,ND,ND,ND,ND
129,09 5 10,35,28,ND,ND,ND,ND,ND,ND,ND
130,10 5 10,32,5,ND,ND,ND,ND,ND,ND,ND
131,11 5 10,54,ND,ND,ND,ND,ND,ND,ND,ND
132,12 5 10,59,ND,ND,ND,ND,ND,ND,ND,ND
133,13 5 10,56,3,ND,ND,ND,ND,ND,ND,ND
134,14 5 10,43,31,ND,ND,ND,ND,ND,ND,ND
135,15 5 10,35,30,ND,ND,ND,ND,ND,ND,ND
136,16 5 10,29,6,ND,ND,ND,ND,ND,ND,ND
137,17 5 10,19,ND,ND,ND,ND,ND,ND,ND,ND
138,18 5 10,36,ND,ND,ND,ND,ND,ND,ND,ND
139,19 5 10,41,ND,ND,ND,ND,ND,ND,ND,ND
140,20 5 10,34,ND,ND,ND,ND,ND,ND,ND,ND
141,21 5 10,22,ND,ND,ND,ND,ND,ND,ND,ND
142,22 5 10,28,ND,ND,ND,ND,ND,ND,ND,ND
143,23 5 10,34,ND,ND,ND,ND,ND,ND,ND,ND
144,24 5 10,30,ND,ND,ND,ND,ND,ND,ND,ND
145,25 5 10,33,ND,ND,ND,ND,ND,ND,ND,ND
146,26 5 10,32,ND,ND,ND,ND,ND,ND,ND,ND
147,27 5 10,31,ND,ND,ND,ND,ND,ND,ND,ND
148,28 5 10,33,ND,ND,ND,ND,ND,ND,ND,ND
149,29 5 10,40,ND,ND,ND,ND,ND,ND,ND,ND
150,30 5 10,31,ND,ND,ND,ND,ND,ND,ND,ND
